tree_size,objective,runtime,MIPGap
1,8460739.690317288,1.5143389701843262,0.001894376586704111
1,6337715.002049802,0.3684120178222656,0.0037403489823002846
1,6302042.880959798,2.5509021282196045,0.007756987905304825
1,6650631.05277211,1.6062757968902588,0.008912801368039232
1,6264563.267247476,2.2771859169006348,0.009809223819718509
1,10825595.26088391,0.34513306617736816,0.009714817297957416
1,6706605.102775576,1.0931971073150635,0.007130948038119923
1,10995906.910305947,1.015589952468872,0.007157873014653983
1,9228630.538180126,1.6947522163391113,0.0012606352141470492
1,4539023.162576779,2.4454588890075684,0.009498012987362008
1,6398202.116541367,0.5281710624694824,0.007873621589629462
1,10061770.993310139,0.5286469459533691,0.0003376121619872075
1,6650631.05277211,1.4340260028839111,0.008912801368039232
1,5601147.754111825,1.7886569499969482,0.0099252486904887
1,4516505.883996959,0.6719851493835449,0.0005492348059602176
1,4576087.298921578,0.45093202590942383,0.0
1,14292541.072926007,0.25575995445251465,0.0020479035432100358
1,7149969.739418839,1.0978789329528809,0.007586281418690861
1,6788397.886998329,1.5561928749084473,0.009540938789649593
1,9900026.22391764,0.44029998779296875,0.00917257022697459
1,7747506.374259976,1.0811200141906738,0.006388449576068491
1,8646694.215125058,1.0424809455871582,0.003623441001524616
1,8424675.415882457,1.0140228271484375,0.006271478244072857
1,10061770.993310139,0.5292088985443115,0.0003376121619872075
1,7747506.374259976,1.0791947841644287,0.006388449576068491
1,4869636.559793802,0.9305589199066162,0.008701079211372538
1,8663378.785715405,0.5535759925842285,0.009997961386309274
1,3610382.366392731,0.6079649925231934,0.0024636014198322308
1,4516505.883996959,0.7095630168914795,0.0005492348059602176
1,4539023.162576779,2.4301698207855225,0.009498012987362008
2,4967641.892708112,1.4507617950439453,0.008683162566831198
2,8644220.008571494,1.306894063949585,0.007023273945423177
2,8132723.4587218035,2.4481658935546875,0.00959529116317718
2,7685726.0284963455,1.157155990600586,0.008298723969659957
2,12759978.971404996,2.0081710815429688,0.009976335324862617
2,9927600.334442228,0.9280729293823242,0.009933046969921666
2,6379416.887423523,4.52947998046875,0.00838319176367282
2,6597240.973183552,15.033287048339844,0.0010486455809686243
2,7493157.491859799,1.803063154220581,0.0012369312338599242
2,6897192.57497361,5.885133981704712,0.0024371748821990637
2,8834081.75436831,1.5053939819335938,0.009785206105730545
2,6518341.884917632,4.883361101150513,0.009585933034474877
2,6499125.914194057,2.6126811504364014,0.00992991426465197
2,6379416.887423523,4.3271238803863525,0.00838319176367282
2,8020598.169057071,1.7197868824005127,0.009617923400600845
2,9628911.062892014,1.6273479461669922,0.008649673789411427
2,15127976.386252776,0.8187448978424072,0.0005534379657485283
2,8496654.096993163,1.9806568622589111,0.005579938882806301
2,10082882.108512953,1.1507930755615234,0.00785879297122592
2,6779904.289595065,1.367785930633545,0.0028379480252711466
2,8100022.632315813,2.414125919342041,0.009299457122849878
2,8658877.5618432,1.5950100421905518,0.008680451931640335
2,7207517.0915525695,5.106581926345825,0.00978185809382213
2,7779465.699466423,2.6505279541015625,0.009943365607238023
2,10065209.413071623,1.5062789916992188,0.008475171621905208
2,5667529.225714644,1.958834171295166,0.0073825431474863435
2,8089018.825659532,2.313689947128296,0.004407919381806435
2,6530694.756339577,2.102509021759033,0.004447776846504518
2,5882169.027620938,4.261528015136719,0.00026213127905323736
2,7233567.270185696,3.938048839569092,0.005977352007851509
3,7057338.479282602,3.5978589057922363,0.009917075312593808
3,11086945.739584304,1.9124970436096191,0.00976711533947839
3,11257771.262833197,2.145678997039795,0.0028317123405831807
3,6217839.067844044,9.413257122039795,0.008019878557082017
3,7780124.448283711,5.807867050170898,0.006062624846828278
3,5407120.223890208,10.56767988204956,0.00979384286043377
3,6639132.669417782,4.89297080039978,0.008377923423321377
3,9278944.996685214,1.5779459476470947,0.008925195726202921
3,9499711.078023959,1.9750311374664307,0.003926627958833706
3,7877647.241135918,4.482578992843628,0.006277739793600582
3,6849098.303546566,1.6813740730285645,0.009739166316320824
3,7355804.194492614,3.1963250637054443,0.001967703651377498
3,5964527.275299057,10.908055067062378,0.009921830039453596
3,8486546.63109952,20.25133991241455,0.00992721813985769
3,7932236.964937381,6.3936989307403564,0.008161757114097763
3,6813169.014524226,5.703524112701416,0.00841937555899062
3,9333773.645138087,2.0699849128723145,0.007521281155128152
3,9140613.17502229,2.846626043319702,0.0031947535763241627
3,7296610.950578225,5.779338121414185,0.002901139668896376
3,10076096.79985041,2.990154981613159,0.009944765838366416
3,7789375.808559054,6.361627817153931,0.004660873024487152
3,8340527.847904533,1.9670259952545166,0.0059909127593624585
3,8813519.749012334,2.2470061779022217,0.0077186012558094624
3,5389879.041470593,3.447824001312256,0.0040162132822978295
3,9560948.690223772,2.005774974822998,0.009666175187677858
3,8625887.042500226,1.5028538703918457,0.004086771126466172
3,7496569.694079221,5.197081089019775,0.009571999634136043
3,9659480.853378097,2.684274911880493,0.0025104554155822452
3,10098924.509161059,3.175204038619995,0.009391698609386953
3,9332494.053494828,3.46809983253479,0.005691482717588301
