case_id,coalition,coalition_size,bases,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,iss_scenarios,oos_scenarios,seed
BCG_cluster_far,B,1,3;5;6;7,1000,21049461.94226595,6607900.0,14441561.942265945,5175000.0,905625.0,527275.0,14263885.583768556,110569.81871289831,67106.53978450767,0.5426451842784882,0.0056988350055376235,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Dec:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,C,1,3;5;6;7,1000,18744105.75892484,7912575.0,10831530.758924823,6555000.0,905625.0,451950.0,10577463.984321365,128607.29857970879,125459.4760237543,0.5269448969364167,0.007348761137353229,5:1,CTV|5:1,CTV|5|Apr:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,G,1,3;5;6;7,1000,12326233.402558291,6015075.0,6311158.402558305,4657500.0,905625.0,451950.0,6055985.263824338,184473.53185180912,70699.60688214672,0.502457338809967,0.012521592151254835,7:1,CTV|7:1,CTV|7|Apr:1;CTV|7|Aug:1;CTV|7|Jul:1;CTV|7|Jun:1;CTV|7|May:1;CTV|7|Sep:1;SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Mar:1;SOV|7|Nov:1;SOV|7|Oct:1,SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Mar:1;SOV1|7|Nov:1;SOV1|7|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,BC,2,3;5;6;7,1000,36326062.62805477,12127325.0,24198737.628054492,2242500.0,9056250.0,828575.0,23754755.933835298,225585.04287012602,218396.65134932773,2.9261617810726164,0.006587612881375895,3:1,CTV|3:2;SOV|3:1,CTV|3|Dec:1;CTV|3|Jan:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,BG,2,3;5;6;7,1000,32094133.669545926,11750125.0,20344008.669546127,2846250.0,8150625.0,753250.0,18779484.659768328,207221.51119996453,1357302.498577654,2.5124530580043793,0.007378976515355047,7:1,CTV|7:1;SOV|7:1,CTV|7|Oct:1;SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Nov:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1;SOV2|7|Dec:1;SOV2|7|Feb:1;SOV2|7|Jan:1;SOV2|7|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,CG,2,3;5;6;7,1000,29968997.795602687,10715125.0,19253872.795602933,1811250.0,8150625.0,753250.0,17602008.694831822,244188.07905932478,1407676.0217116086,2.524031601905823,0.008152531101261526,7:1,CTV|7:1;SOV|7:1,CTV|7|Dec:1;CTV|7|Feb:1;CTV|7|Jan:1;CTV|7|Mar:1;CTV|7|Nov:1;SOV|7|Feb:1;SOV|7|Jan:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1;SOV2|7|Feb:1;SOV2|7|Jan:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCG_cluster_far,BCG,3,3;5;6;7,1000,48116947.119159296,15491075.0,32625872.11915884,5606250.0,9056250.0,828575.0,30447808.066755414,407736.36154882284,1770327.690854978,5.542320088148117,0.008597434136817926,3:1,CTV|3:2;SOV|3:1,CTV|3|Apr:1;CTV|3|Aug:1;CTV|3|Dec:1;CTV|3|Feb:1;CTV|3|Jan:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1;SOV2|3|Mar:1;SOV2|3|Nov:1;SOV2|3|Oct:1;SOV2|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
