ISO3,date,price
GBR,2023-04-16,113.71
DEU,2023-04-17,122.6
GBR,2023-04-17,122.2
DEU,2023-04-18,108.67
GBR,2023-04-18,114.63
DEU,2023-04-19,86.99
GBR,2023-04-19,111.6
DEU,2023-04-20,111.31
GBR,2023-04-20,117.02
DEU,2023-04-21,90.77
GBR,2023-04-21,115.03
DEU,2023-04-22,84.84
GBR,2023-04-22,111.33
DEU,2023-04-23,84.08
GBR,2023-04-23,113.32
DEU,2023-04-24,101.85
GBR,2023-04-24,109.6
DEU,2023-04-25,102.21
GBR,2023-04-25,117.18
DEU,2023-04-26,112.03
GBR,2023-04-26,127.93
DEU,2023-04-27,113.32
GBR,2023-04-27,110.03
DEU,2023-04-28,106.8
GBR,2023-04-28,106.71
DEU,2023-04-29,99.4
GBR,2023-04-29,109.72
DEU,2023-04-30,76.46
GBR,2023-04-30,103.43
DEU,2023-05-01,84.75
GBR,2023-05-01,99.26
DEU,2023-05-02,104.65
GBR,2023-05-02,111.71
DEU,2023-05-03,107.12
GBR,2023-05-03,104.55
DEU,2023-05-04,96.88
GBR,2023-05-04,93.7
DEU,2023-05-05,94.8
GBR,2023-05-05,99.25
DEU,2023-05-06,87.69
GBR,2023-05-06,99.4
DEU,2023-05-07,68.82
GBR,2023-05-07,98.62
DEU,2023-05-08,96.7
GBR,2023-05-08,101.64
DEU,2023-05-09,95.35
GBR,2023-05-09,106.85
DEU,2023-05-10,108.98
GBR,2023-05-10,106.31
DEU,2023-05-11,115.43
GBR,2023-05-11,112.64
DEU,2023-05-12,100.42
GBR,2023-05-12,99.68
DEU,2023-05-13,80.4
GBR,2023-05-13,95.95
DEU,2023-05-14,78.22
GBR,2023-05-14,93.69
DEU,2023-05-15,107.49
GBR,2023-05-15,94.26
DEU,2023-05-16,80.52
GBR,2023-05-16,95.63
DEU,2023-05-17,81.34
GBR,2023-05-17,96.12
DEU,2023-05-18,81.89
GBR,2023-05-18,93.17
DEU,2023-05-19,87.54
GBR,2023-05-19,94.55
DEU,2023-05-20,50.36
GBR,2023-05-20,86.61
DEU,2023-05-21,37.13
GBR,2023-05-21,84.99
DEU,2023-05-22,95.95
GBR,2023-05-22,86.46
DEU,2023-05-23,74.94
GBR,2023-05-23,85.17
DEU,2023-05-24,100.6
GBR,2023-05-24,86.26
DEU,2023-05-25,83.14
GBR,2023-05-25,84.81
DEU,2023-05-26,69.85
GBR,2023-05-26,83.37
DEU,2023-05-27,61.45
GBR,2023-05-27,69.75
DEU,2023-05-28,28.92
GBR,2023-05-28,72.8
DEU,2023-05-29,26.62
GBR,2023-05-29,72.57
DEU,2023-05-30,82.85
GBR,2023-05-30,81.2
DEU,2023-05-31,72.1
GBR,2023-05-31,79.52
DEU,2023-06-01,71.33
GBR,2023-06-01,78.9
DEU,2023-06-02,80.11
GBR,2023-06-02,82.0
DEU,2023-06-03,55.84
GBR,2023-06-03,73.11
DEU,2023-06-04,44.9
GBR,2023-06-04,70.89
DEU,2023-06-05,88.76
GBR,2023-06-05,84.08
DEU,2023-06-06,97.96
GBR,2023-06-06,86.74
DEU,2023-06-07,101.02
GBR,2023-06-07,90.1
DEU,2023-06-08,83.61
GBR,2023-06-08,80.58
DEU,2023-06-09,84.59
GBR,2023-06-09,83.04
DEU,2023-06-10,51.9
GBR,2023-06-10,71.21
DEU,2023-06-11,37.32
GBR,2023-06-11,92.01
DEU,2023-06-12,90.97
GBR,2023-06-12,107.93
DEU,2023-06-13,91.82
GBR,2023-06-13,99.67
DEU,2023-06-14,103.44
GBR,2023-06-14,99.72
DEU,2023-06-15,119.84
GBR,2023-06-15,114.66
DEU,2023-06-16,127.11
GBR,2023-06-16,126.35
DEU,2023-06-17,100.95
GBR,2023-06-17,110.53
DEU,2023-06-18,87.94
GBR,2023-06-18,103.08
DEU,2023-06-19,122.57
GBR,2023-06-19,114.92
DEU,2023-06-20,122.78
GBR,2023-06-20,120.75
DEU,2023-06-21,126.25
GBR,2023-06-21,123.3
DEU,2023-06-22,124.15
GBR,2023-06-22,125.95
DEU,2023-06-23,107.53
GBR,2023-06-23,109.99
DEU,2023-06-24,84.98
GBR,2023-06-24,97.53
DEU,2023-06-25,74.49
GBR,2023-06-25,71.41
DEU,2023-06-26,91.8
GBR,2023-06-26,98.86
DEU,2023-06-27,102.91
GBR,2023-06-27,105.36
DEU,2023-06-28,114.28
GBR,2023-06-28,112.37
DEU,2023-06-29,117.04
GBR,2023-06-29,110.08
DEU,2023-06-30,108.94
GBR,2023-06-30,99.07
DEU,2023-07-01,57.93
GBR,2023-07-01,50.53
DEU,2023-07-02,-30.14
GBR,2023-07-02,4.52
DEU,2023-07-03,58.25
GBR,2023-07-03,77.78
DEU,2023-07-04,86.39
GBR,2023-07-04,105.99
DEU,2023-07-05,67.44
GBR,2023-07-05,98.85
DEU,2023-07-06,108.6
GBR,2023-07-06,104.75
DEU,2023-07-07,104.58
GBR,2023-07-07,95.18
DEU,2023-07-08,80.75
GBR,2023-07-08,80.82
DEU,2023-07-09,85.51
GBR,2023-07-09,98.7
DEU,2023-07-10,111.71
GBR,2023-07-10,106.79
DEU,2023-07-11,104.78
GBR,2023-07-11,102.43
DEU,2023-07-12,87.62
GBR,2023-07-12,92.55
DEU,2023-07-13,98.2
GBR,2023-07-13,97.15
DEU,2023-07-14,96.54
GBR,2023-07-14,83.08
DEU,2023-07-15,37.29
GBR,2023-07-15,36.29
DEU,2023-07-16,21.37
GBR,2023-07-16,9.48
DEU,2023-07-17,81.35
GBR,2023-07-17,84.81
DEU,2023-07-18,105.52
GBR,2023-07-18,104.49
DEU,2023-07-19,100.45
GBR,2023-07-19,93.74
DEU,2023-07-20,97.03
GBR,2023-07-20,91.54
DEU,2023-07-21,103.31
GBR,2023-07-21,89.28
DEU,2023-07-22,74.52
GBR,2023-07-22,89.46
DEU,2023-07-23,27.8
GBR,2023-07-23,64.66
DEU,2023-07-24,90.52
GBR,2023-07-24,88.08
DEU,2023-07-25,101.91
GBR,2023-07-25,94.82
DEU,2023-07-26,95.0
GBR,2023-07-26,96.58
DEU,2023-07-27,96.24
GBR,2023-07-27,98.99
DEU,2023-07-28,97.21
GBR,2023-07-28,93.05
DEU,2023-07-29,73.17
GBR,2023-07-29,76.73
DEU,2023-07-30,28.92
GBR,2023-07-30,42.49
DEU,2023-07-31,71.91
GBR,2023-07-31,78.71
DEU,2023-08-01,80.97
