tree_size,objective,runtime,MIPGap
1,7991399.835925914,1.912680600071326,0.0009577108838489607
1,8454026.598282073,3.2313239000504836,0.00018535658748857324
1,11273517.981700525,2.306680600042455,0.0010416401692450886
1,14967425.464523848,1.9705084000015631,8.918996706724362e-05
1,15286499.798260868,1.6318936999887228,4.873961139077419e-16
1,12308852.4248003,1.3023723000660539,0.00035138580344223414
1,10035060.144363495,1.2146719000302255,0.0001638367456800097
1,8473797.851289608,2.9652145000873134,0.0009926914175228526
1,6026630.701279071,7.324974499992095,0.0015670827983692635
1,10700110.473855246,2.527546100085601,0.001560388427973867
