tree_size,count,objective,gamma_LT,gamma_ST
1,1,9917706.463291563,"('CTV', '1'):2;('SOV', '1'):1","('CTV', '1', 'Jan'):1;('SOV', '1', 'Feb'):1"
1,2,9464744.255059682,"('SOV', '1'):2;('CTV', '1'):1",
1,1,9831888.66472963,"('CTV', '1'):2;('SOV', '1'):1","('SOV', '1', 'Jan'):1"
1,1,9843205.375437737,"('SOV', '1'):2;('CTV', '1'):1","('SOV', '1', 'Jan'):1"
1,1,9969855.385819437,"('SOV', '1'):2","('SOV', '1', 'Mar'):1"
1,1,9527315.992197957,"('SOV', '1'):2",
1,2,9884669.87419916,"('CTV', '1'):2;('SOV', '1'):1",
1,1,10050623.520944618,"('CTV', '1'):2;('SOV', '1'):1","('CTV', '1', 'Feb'):2"
