instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,MIP_runtime,Con_total runtime,Con_eta runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,Con_eta_n_iters,Con_eta_vars_fixed,Con_eta_judges_solved_min,Con_eta_gap_p90_max,Con_eta_unanimous_count,Con_gamma_LT_n_iters,Con_gamma_LT_vars_fixed,Con_gamma_LT_judges_solved_min,Con_gamma_LT_gap_p90_max,Con_gamma_LT_unanimous_count,Con_fix_history_json,MIPGap,has_solution,solve_status_code,solve_status,solve_outcome,gap_pruned,optimize_error,eta,gamma_LT,gamma_ST,alpha,scenarios,param_signature,seed,iss_pool,oos_pool
2,7,25915023.43945358,10090100.0,15824923.439452551,431250.0,9056250.0,602600.0,15187146.571935875,250269.7605779345,387507.1069396902,1632.327017068863,,,,,,,,,,,,,,,,,0.01994891757736315,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,10;44;102;151;157;346;398,f625172cf7d9ff2c,200,1-500,501-1500
2,10,30888166.012539305,11879500.0,19008666.012543388,2070000.0,9056250.0,753250.0,18418097.077953827,195451.527523252,395117.40706232854,3396.007884979248,,,,,,,,,,,,,,,,,0.01880301679664283,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Jan:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1;SOV2|5|Nov:1,4;15;91;99;160;303;365;426;430;478,f625172cf7d9ff2c,200,1-500,501-1500
2,15,27882856.612211388,9756025.0,18126831.61220539,172500.0,9056250.0,527275.0,17485299.670184296,238202.14134966847,403329.8006772443,1365.5210468769073,,,,,,,,,,,,,,,,,0.016678426414734715,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,4;21;63;74;91;136;194;210;212;257;291;303;308;478;500,f625172cf7d9ff2c,200,1-500,501-1500
2,20,28222811.84530921,9928525.0,18294286.845302712,345000.0,9056250.0,527275.0,17646937.973344304,250001.8570676623,397347.01489722024,3404.5277309417725,,,,,,,,,,,,,,,,,0.019018641977870527,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,10;100;102;115;158;180;272;291;292;300;374;394;395;405;423;437;448;463;467;500,f625172cf7d9ff2c,200,1-500,501-1500
3,1,25384580.808285408,8947000.0,16437580.808285404,6382500.0,1811250.0,753250.0,15698349.236998234,465185.11137362744,274046.4599135373,19.62096405029297,,,,,,,,,,,,,,,,,0.019871241657683957,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Dec:3;CTV|5|Jan:3;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,6,f625172cf7d9ff2c,200,1-500,501-1500
3,3,26910376.088478338,9120075.0,17790301.088478357,517500.0,8150625.0,451950.0,17117503.360692933,216710.83717403523,456086.8906113847,112.01848006248474,,,,,,,,,,,,,,,,,0.019705323583091173,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,36;248;481,f625172cf7d9ff2c,200,1-500,501-1500
3,5,28027943.69094413,9508200.0,18519743.690942645,0.0,9056250.0,451950.0,17841646.24232227,239146.5408986849,438950.907723097,215.22726392745972,,,,,,,,,,,,,,,,,0.01980251419032135,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,23;136;345;389;420,f625172cf7d9ff2c,200,1-500,501-1500
3,7,26909516.017530486,10176350.0,16733166.017529475,517500.0,9056250.0,602600.0,16053303.99374705,270415.15390956774,409446.86987377156,1368.6994400024414,,,,,,,,,,,,,,,,,0.019642397899575146,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:2;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,285;308;402;410;433;438;475,f625172cf7d9ff2c,200,1-500,501-1500
3,10,29111272.6253215,10262600.0,18848672.62532607,603750.0,9056250.0,602600.0,18185936.467113804,256693.18565020504,406042.97255764256,3559.0774760246277,,,,,,,,,,,,,,,,,0.01778281193969016,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:2;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,26;48;79;85;233;280;349;353;354;412,f625172cf7d9ff2c,200,1-500,501-1500
3,15,27869645.056775928,9917600.0,17952045.056770016,258750.0,9056250.0,602600.0,17287750.43344396,247803.24387496413,416491.3794567972,8456.673596143723,,,,,,,,,,,,,,,,,0.018821844254990033,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,4;10;88;148;163;219;224;305;313;339;356;382;397;429;462,f625172cf7d9ff2c,200,1-500,501-1500
