instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,11829998.857476972,5811903.5,6018095.357476966,0.0,5811903.5,6017017.718562493,0.0,1077.6389144730852,0.7089998722076416,3.534045264127825e-05,SOV|3:1,,85,bc278e7235743ec2,400,1-200,201-300,1
1,3,13694136.497679837,5811903.5,7882232.997679834,0.0,5811903.5,7881155.358765359,0.0,1077.6389144730852,2.8279998302459717,9.527181035918811e-05,SOV|3:1,,38;47;85,bc278e7235743ec2,400,1-200,201-300,1
1,5,14955586.244389215,5811903.5,9143682.744389214,0.0,5811903.5,9142605.10547474,0.0,1077.6389144730852,4.732000112533569,4.4069709173748305e-05,SOV|3:1,,32;38;47;85;150,bc278e7235743ec2,400,1-200,201-300,1
1,7,14162068.630117292,5811903.5,8350165.130117285,0.0,5811903.5,8349087.491202806,0.0,1077.6389144730852,7.098999977111816,9.621041869132331e-05,SOV|3:1,,32;38;47;61;85;150;190,bc278e7235743ec2,400,1-200,201-300,1
1,9,15289073.307613928,5811903.5,9477169.807613924,0.0,5811903.5,9476092.168699455,0.0,1077.6389144730854,10.864999771118164,2.9806989488287034e-05,SOV|3:1,,32;38;47;61;67;85;118;150;190,bc278e7235743ec2,400,1-200,201-300,1
1,12,15949550.115961567,5811903.5,10137646.615961637,0.0,5811903.5,10136568.977047157,0.0,1077.6389144730845,40.42199993133545,0.0,SOV|3:1,,13;32;38;47;61;62;67;75;85;118;150;190,bc278e7235743ec2,400,1-200,201-300,1
2,1,23611641.95191529,6003036.0,17608605.951915283,191132.5,5811903.5,17606666.20186923,862.1111315784681,1077.6389144730852,2.995000123977661,0.0,SOV|3:1,CTV|3|Nov:1,5,bc278e7235743ec2,400,1-200,201-300,1
2,3,20941015.745223798,6003036.0,14937979.74522378,191132.5,5811903.5,14936039.995177733,862.1111315784681,1077.6389144730852,6.053000211715698,5.633529441374827e-05,SOV|3:1,CTV|3|Jan:1,5;89;196,bc278e7235743ec2,400,1-200,201-300,1
2,5,17818602.295679465,5811903.5,12006698.795679467,0.0,5811903.5,12005621.156764993,0.0,1077.6389144730852,25.16100001335144,9.431806612170144e-05,SOV|3:1,,5;19;66;89;196,bc278e7235743ec2,400,1-200,201-300,1
2,7,17730293.324173972,5811903.5,11918389.824173972,0.0,5811903.5,11917312.185259506,0.0,1077.6389144730852,14.873999834060669,8.601718031864287e-05,SOV|3:1,,5;19;66;89;99;159;196,bc278e7235743ec2,400,1-200,201-300,1
2,9,17664745.061139062,5811903.5,11852841.56113903,0.0,5811903.5,11851763.92222456,0.0,1077.6389144730854,20.027000188827515,8.034835614889813e-05,SOV|3:1,,5;6;19;66;89;99;159;167;196,bc278e7235743ec2,400,1-200,201-300,1
2,12,17698702.012363344,5811903.5,11886798.512363339,0.0,5811903.5,11885720.873448858,0.0,1077.6389144730845,27.60199999809265,6.695018023947339e-05,SOV|3:1,,4;5;6;10;19;66;89;99;122;159;167;196,bc278e7235743ec2,400,1-200,201-300,1
3,1,11481405.95278189,5811903.5,5669502.45278189,0.0,5811903.5,5668424.813867416,0.0,1077.6389144730852,0.9830000400543213,0.0,SOV|3:1,,131,bc278e7235743ec2,400,1-200,201-300,1
3,3,14605874.367504582,6003036.0,8602838.367504567,191132.5,5811903.5,8600611.247081328,1149.4815087712907,1077.6389144730852,4.2200000286102295,6.387110504327115e-05,SOV|3:1,CTV|3|Jan:1,27;84;131,bc278e7235743ec2,400,1-200,201-300,1
3,5,15080319.890802922,5811903.5,9268416.39080292,0.0,5811903.5,9267338.751888447,0.0,1077.6389144730852,8.948999881744385,9.252462648922941e-06,SOV|3:1,,27;84;131;133;159,bc278e7235743ec2,400,1-200,201-300,1
3,7,15654400.214521978,5811903.5,9842496.714521958,0.0,5811903.5,9841419.075607492,0.0,1077.6389144730852,13.029000043869019,6.352758769197622e-05,SOV|3:1,,27;67;84;131;133;135;159,bc278e7235743ec2,400,1-200,201-300,1
3,9,16122034.867381297,5811903.5,10310131.367381282,0.0,5811903.5,10309053.728466813,0.0,1077.6389144730854,17.965999841690063,3.9252627601099016e-05,SOV|3:1,,27;67;84;86;131;133;135;155;159,bc278e7235743ec2,400,1-200,201-300,1
3,12,15897361.589006573,5811903.5,10085458.089006588,0.0,5811903.5,10084380.450092107,0.0,1077.6389144730845,27.3270001411438,9.47917871266699e-05,SOV|3:1,,27;67;81;84;86;128;131;133;135;152;155;159,bc278e7235743ec2,400,1-200,201-300,1
4,1,14079672.992130054,6003036.0,8076636.992130056,191132.5,5811903.5,8073835.130952425,1724.2222631569362,1077.6389144730852,1.313999891281128,4.762383612964602e-11,SOV|3:1,CTV|3|Jan:1,84,bc278e7235743ec2,400,1-200,201-300,1
4,3,14938835.74813181,6003036.0,8935799.748131802,191132.5,5811903.5,8933285.257331371,1436.8518859641133,1077.6389144730852,4.64900016784668,1.122162839575703e-15,SOV|3:1,CTV|3|Jan:1,76;84;200,bc278e7235743ec2,400,1-200,201-300,1
4,5,16769181.325754337,5811903.5,10957277.82575435,0.0,5811903.5,10956200.186839877,0.0,1077.6389144730852,10.209999799728394,1.806034836345628e-05,SOV|3:1,,44;76;84;101;200,bc278e7235743ec2,400,1-200,201-300,1
4,7,17739441.739845697,6194168.5,11545273.239845673,382265.0,5811903.5,11543579.807265792,615.7936654131914,1077.6389144730852,56.574000120162964,9.739824643948589e-05,SOV|3:1,CTV|3|Nov:2,44;76;84;101;192;193;200,bc278e7235743ec2,400,1-200,201-300,1
4,9,18133089.26827891,6003036.0,12130053.268278893,191132.5,5811903.5,12128688.25898723,287.3703771928227,1077.6389144730854,72.42499995231628,9.443624316329473e-05,SOV|3:1,CTV|3|Nov:1,19;44;45;76;84;101;192;193;200,bc278e7235743ec2,400,1-200,201-300,1
4,12,17318104.001763653,5811903.5,11506200.501763655,0.0,5811903.5,11505122.862849174,0.0,1077.6389144730845,1226.7109999656677,0.0,SOV|3:1,,19;44;45;76;84;101;105;139;155;192;193;200,bc278e7235743ec2,400,1-200,201-300,1
5,1,12236177.002984032,5811903.5,6424273.502984043,0.0,5811903.5,6423195.86406957,0.0,1077.6389144730852,1.1790001392364502,0.0,SOV|3:1,,151,bc278e7235743ec2,400,1-200,201-300,1
5,3,15926938.138491064,5811903.5,10115034.638491064,0.0,5811903.5,10113956.999576595,0.0,1077.6389144730852,4.423999786376953,0.0,SOV|3:1,,6;91;151,bc278e7235743ec2,400,1-200,201-300,1
5,5,15615860.825564895,5811903.5,9803957.325564887,0.0,5811903.5,9802879.686650414,0.0,1077.6389144730852,8.342999935150146,2.341007560185185e-05,SOV|3:1,,6;47;91;113;151,bc278e7235743ec2,400,1-200,201-300,1
5,7,17158215.464532524,6576622.0,10581593.464532517,764718.5,5811903.5,10579746.08353629,0.0,1847.3809962395749,17.088000059127808,3.255079644990381e-05,SOV|3:1,SOV|3|Nov:1,6;47;91;113;151;182;183,bc278e7235743ec2,400,1-200,201-300,1
5,9,17299876.67050288,6576622.0,10723254.670502855,764718.5,5811903.5,10721338.867988242,0.0,1915.8025146188172,79.28200006484985,1.9922920072997567e-05,SOV|3:1,SOV|3|Nov:1,6;47;91;113;116;127;151;182;183,bc278e7235743ec2,400,1-200,201-300,1
5,12,17465173.05345273,5811903.5,11653269.553452695,0.0,5811903.5,11652191.914538214,0.0,1077.6389144730845,121.31500005722046,1.7063857481677586e-15,SOV|3:1,,2;6;47;91;113;116;127;151;165;167;182;183,bc278e7235743ec2,400,1-200,201-300,1
6,1,13064847.673894746,5811903.5,7252944.173894746,0.0,5811903.5,7251866.534980273,0.0,1077.6389144730852,1.1770000457763672,9.864277401355269e-10,SOV|3:1,,128,bc278e7235743ec2,400,1-200,201-300,1
6,3,15549278.282449676,5811903.5,9737374.782449674,0.0,5811903.5,9736297.143535204,0.0,1077.6389144730852,4.460000038146973,3.234324970953751e-15,SOV|3:1,,4;74;128,bc278e7235743ec2,400,1-200,201-300,1
6,5,17107481.726038545,6576622.0,10530859.72603855,764718.5,5811903.5,10529135.503775392,0.0,1724.2222631569357,9.878000020980835,8.871463344825397e-05,SOV|3:1,SOV|3|Nov:1,4;74;121;128;182,bc278e7235743ec2,400,1-200,201-300,1
6,7,16159885.062742123,6576622.0,9583263.062742129,764718.5,5811903.5,9581723.578578606,0.0,1539.484163532979,29.625999927520752,8.585537023135393e-05,SOV|3:1,SOV|3|Nov:1,3;4;74;121;128;155;182,bc278e7235743ec2,400,1-200,201-300,1
