tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,gamma_LT,gamma_ST,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,1,16905527.534292094,6003036.0,10902491.534292104,191132.5,5811903.5,10872231.433573691,2241.488942104017,28018.61177630022,SOV|3:1,CTV|3|Jul:1,2ced5ae0f02a4ee8,123,1-30,31-40,1
1,1,2,17158538.264501043,6385301.0,10773237.264501048,573397.5,5811903.5,10742890.952669479,2327.700055261864,28018.61177630022,SOV|3:1,CTV|3|Mar:2;CTV|3|Nov:1,2ced5ae0f02a4ee8,123,1-30,31-40,1
3,2,1;2,16771382.14407008,5811903.5,10959478.644070087,0.0,5811903.5,10931460.03229378,0.0,28018.61177630022,SOV|3:1,,2ced5ae0f02a4ee8,123,1-30,31-40,1
5,2,1;2,16771382.14407008,5811903.5,10959478.644070087,0.0,5811903.5,10931460.03229378,0.0,28018.61177630022,SOV|3:1,,2ced5ae0f02a4ee8,123,1-30,31-40,1
