instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,19023134.65973413,6003036.0,13020098.659734135,191132.5,5811903.5,12989493.714563092,2586.333394735404,28018.611776300222,0.9120001792907715,6.530892723401867e-05,SOV|3:1,CTV|3|Jul:1,2,2ced5ae0f02a4ee8,123,1-30,31-40,1
1,3,19221474.864036206,5811903.5,13409571.364036134,0.0,5811903.5,13381552.752259923,0.0,28018.611776300164,13.175999879837036,0.0,SOV|3:1,,1;2;17,2ced5ae0f02a4ee8,123,1-30,31-40,1
1,5,19150519.676241163,5811903.5,13338616.176241146,0.0,5811903.5,13310597.56446484,0.0,28018.611776300342,22.914000034332275,1.9452685156547714e-16,SOV|3:1,,1;2;17;19;28,2ced5ae0f02a4ee8,123,1-30,31-40,1
2,1,26174976.54254296,6385301.0,19789675.542542964,573397.5,5811903.5,19758208.486240342,3448.4445263138723,28018.611776300222,2.7209999561309814,0.0,SOV|3:1,CTV|3|Mar:2;CTV|3|Nov:1,5,2ced5ae0f02a4ee8,123,1-30,31-40,1
2,3,22898859.69216815,5811903.5,17086956.19216836,0.0,5811903.5,17058937.580391858,0.0,28018.611776300164,10.009999990463257,2.4271121401725643e-05,SOV|3:1,,5;14;28,2ced5ae0f02a4ee8,123,1-30,31-40,1
2,5,20065629.761197317,5811903.5,14253726.261197338,0.0,5811903.5,14225707.64942103,0.0,28018.611776300342,14.0,6.024984458309892e-05,SOV|3:1,,5;10;14;23;28,2ced5ae0f02a4ee8,123,1-30,31-40,1
