coalition,coalition_size,method,bases,objective,standalone_cost,synergy,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,Con_total_runtime,Con_eta_runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,runtime,MIPGap,has_solution,status,eta,gamma_LT,gamma_ST,alpha,scenarios,seed,node_id,num_nodes
B,1,con_mp,3;5;6;7,20586629.29862796,20586629.29862796,0.0,6607900.0,13978729.2986274,5175000.0,905625.0,527275.0,13772691.232439706,146095.4126801454,59942.65350814519,217.68121887743473,22.13890516385436,9.804803615435958,0.04114309884607792,172.56525802612305,172.56525802612305,0.009206439024113732,True,2,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Dec:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
E,1,con_mp,3;5;6;7,19089747.27460815,19089747.27460815,0.0,7438200.0,11651547.27460744,6986250.0,0.0,451950.0,11365528.190275254,170795.02592007848,115224.05841281178,170.22814222238958,13.444244598969817,5.404447408393025,0.03879542462527752,138.61918306350708,138.61918306350708,0.01776413403345515,True,2,6:1,,CTV|6|Apr:3;CTV|6|Aug:1;CTV|6|Dec:1;CTV|6|Feb:1;CTV|6|Jan:1;CTV|6|Jul:2;CTV|6|Jun:2;CTV|6|Mar:1;CTV|6|May:2;CTV|6|Nov:1;CTV|6|Oct:1;CTV|6|Sep:1;SOV|6|Aug:1;SOV|6|Dec:1;SOV|6|Feb:1;SOV|6|Jan:1;SOV|6|Mar:1;SOV|6|Nov:1;SOV|6|Oct:1;SOV|6|Sep:1,SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Mar:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
G,1,con_mp,3;5;6;7,12599093.784985706,12599093.784985706,0.0,6015075.0,6584018.784985282,4657500.0,905625.0,451950.0,6337459.631379915,178968.3935746154,67590.76003119703,133.9245738349855,19.804283374920487,3.829568749293685,0.039143042638897896,96.95538377761841,96.95538377761841,0.017210875173168817,True,2,7:1,CTV|7:1,CTV|7|Apr:1;CTV|7|Aug:1;CTV|7|Jul:1;CTV|7|Jun:1;CTV|7|May:1;CTV|7|Sep:1;SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Mar:1;SOV|7|Nov:1;SOV|7|Oct:1,SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Mar:1;SOV1|7|Nov:1;SOV1|7|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BE,2,con_mp,3;5;6;7,37766066.575876564,39676376.57323611,0.050582710103566166,13895450.0,23870616.57587524,4916250.0,8150625.0,828575.0,22803595.39957841,520742.55861773406,546278.6176802099,445.9778408035636,241.4107646420598,21.08351033553481,0.04093016870319843,166.2664668560028,166.2664668560028,0.019399817402735837,True,2,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:2;CTV|5|Aug:2;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|Mar:2;CTV|5|May:2;CTV|5|Sep:2;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BG,2,con_mp,3;5;6;7,32506279.60359227,33185723.083613668,0.020901914593336398,11750125.0,20756154.603598572,2846250.0,8150625.0,753250.0,19146994.857917838,205010.8403420374,1404148.905332515,1476.7653925977647,364.6868921779096,9.82480513304472,0.0437674168497324,1084.383248090744,1084.383248090744,0.01999884111890303,True,2,7:1,CTV|7:1;SOV|7:1,CTV|7|Oct:1;SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Nov:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1;SOV2|7|Dec:1;SOV2|7|Feb:1;SOV2|7|Jan:1;SOV2|7|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
EG,2,con_mp,3;5;6;7,30065945.348806042,31688841.059593856,0.053977870709202944,9120075.0,20945870.348811906,517500.0,8150625.0,451950.0,19833246.508827083,279417.83110610064,833206.0088729345,435.22594665549695,161.57719911448658,10.83166454359889,0.038208482787013054,245.06283712387085,245.06283712387085,0.017803940722271802,True,2,7:1,CTV|7:1;SOV|7:1,CTV|7|Dec:1;CTV|7|Feb:1;CTV|7|Jan:1;CTV|7|Mar:1;CTV|7|Nov:1;CTV|7|Oct:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BEG,3,con_mp,3;5;6;7,49749727.25849167,52275470.358221814,0.05076898385003765,16407625.0,33342102.25849875,258750.0,15395625.0,753250.0,31111548.241811685,262969.96998983406,1967584.0466899963,3290.894107375294,2230.1204637102783,40.316511530429125,0.04242582432925701,994.8458919525146,994.8458919525146,0.006722134034791238,True,2,7:1,CTV|7:1;SOV|7:2,CTV|7|Dec:1;CTV|7|Feb:1;CTV|7|Jan:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1;SOV2|7|Apr:1;SOV2|7|Aug:1;SOV2|7|Dec:1;SOV2|7|Feb:1;SOV2|7|Jan:1;SOV2|7|Jul:1;SOV2|7|Jun:1;SOV2|7|Mar:1;SOV2|7|May:1;SOV2|7|Nov:1;SOV2|7|Oct:1;SOV2|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
