case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S10_T12,1W3B,A,10,1,19777571.47135595,0.001074975217644684,104.89,260910,153393,1,SOV@1:1,none,A,"3,2,1","264,652,198,764,939,459,89,655,17,364",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,2,19247715.632035002,0.0016380830133748824,37.9,260506,153393,1,SOV@1:1,none,A,"3,2,1","343,329,164,550,515,908,327,476,50,603",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,3,19851647.44883722,0.0015421138327852098,88.06,259675,153393,1,SOV@1:1,none,A,"3,2,1","588,246,387,907,512,187,224,67,386,398",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,4,17362971.0788784,0.0019960109000427564,17.17,261217,153393,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","872,252,110,312,978,588,561,411,790,625",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,5,17715531.282608617,0.000559650895983344,22.69,261571,153393,1,SOV@1:1,none,A,"3,2,1","548,10,27,117,420,607,942,185,676,656",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,6,19077088.534452483,0.0019390980315351512,37.62,260920,153393,1,SOV@1:1,"Jan|CTV@1:1, Sep|CTV@1:1",A,"3,2,1","181,223,951,432,488,875,697,356,682,352",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,7,17830539.313285492,0.0005046913575415558,13.6,261152,153393,1,SOV@1:1,none,A,"3,2,1","468,386,479,590,890,674,819,222,601,585",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,8,19766125.164645012,0.0013700893483315109,56.25,260884,153393,1,SOV@1:1,none,A,"3,2,1","812,18,171,452,270,513,157,285,601,894",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,9,18350396.572397564,0.001921897824180566,120.77,260783,153393,1,SOV@1:1,none,A,"3,2,1","826,963,990,870,317,414,667,320,78,940",12,30,True,1,4,2,8
W1_B3_V3_S10_T12,1W3B,A,10,10,16085376.819365222,0.0013091052617368022,16.68,261569,153393,1,SOV@1:1,none,A,"3,2,1","669,46,625,464,333,122,936,960,912,768",12,30,True,1,4,2,8
