case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S5_T12,1W3B,A,5,1,19535658.464611765,0.0019160329939323865,34.37,130328,76763,1,SOV@1:1,Feb|CTV@1:1;SOV@1:1,A,"3,2,1","658,944,199,365,768",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,2,17536784.280038234,0.001988215318904272,27.93,130712,76763,1,SOV@1:1,none,A,"3,2,1","851,985,458,328,147",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,3,18967381.810609724,0.0019527168509604568,6.1,130475,76763,1,SOV@1:1,none,A,"3,2,1","518,165,607,554,269",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,4,18737874.330857046,0.001998259186655563,9.83,130263,76763,1,SOV@1:1,none,A,"3,2,1","216,328,468,797,326",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,5,18029825.79868836,0.001998001633322058,8.56,130650,76763,1,SOV@1:1,none,A,"3,2,1","914,592,585,225,368",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,6,16851589.328060724,0.0019966784998676863,9.27,130318,76763,1,SOV@1:1,none,A,"3,2,1","67,439,511,246,667",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,7,15295621.947095955,0.001699909189785416,9.6,131127,76763,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:2",A,"3,2,1","324,314,523,796,673",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,8,19032509.245115686,0.001011282670474751,12.04,130599,76763,1,SOV@1:1,Jan|CTV@1:1,A,"3,2,1","704,110,624,252,411",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,9,21835192.32353919,0.001980349232163197,94.92,130128,76763,1,SOV@1:1,Nov|CTV@1:1,A,"3,2,1","87,287,418,118,812",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,10,16017640.883294506,0.000942558463737919,34.89,131661,76763,1,SOV@1:1,none,A,"3,2,1","420,676,656,942,27",12,30,True,1,4,2,8
