case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S2_T12,1W3B,A,2,1,19397611.2305379,0.001818647260935433,2.21,52266,30785,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","770,366",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,2,16603797.113704486,0.001996447832519097,1.73,52193,30785,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","944,199",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,3,16809691.261560496,0.0018067924890227264,7.12,52641,30785,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","653,265",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,4,21432492.8910932,0.0018841637647076862,1.99,52560,30785,1,SOV@1:1,Nov|SOV@1:1,A,"3,2,1","459,147",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,5,16811213.100726068,0.000529051187438103,4.37,52402,30785,1,SOV@1:1,none,A,"3,2,1","851,328",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,6,18690120.36203323,0.0018762419335751272,2.71,52455,30785,1,SOV@1:1,none,A,"3,2,1","53,836",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,7,19773602.389121298,0.001266015038765525,3.54,52440,30785,1,SOV@1:1,"Feb|CTV@1:1, Nov|CTV@1:1",A,"3,2,1","555,270",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,8,21945010.140242726,0.0017584600238170016,1.5,52086,30785,1,SOV@1:1,none,A,"3,2,1","518,607",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,9,18698149.855188265,0.0018821392058137253,1.55,52166,30785,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","344,477",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,10,16615777.639551155,0.0007732673829030956,1.82,52224,30785,1,SOV@1:1,none,A,"3,2,1","327,329",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,11,16018587.84211915,0.0019782839512126472,1.87,52458,30785,1,SOV@1:1,none,A,"3,2,1","797,468",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,12,19263522.48036817,0.00167736507480713,1.87,52577,30785,1,SOV@1:1,"Jan|SOV@1:1, Dec|CTV@1:1",A,"3,2,1","641,421",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,13,17184241.870401945,0.0006358301466435632,1.89,52365,30785,1,SOV@1:1,Nov|CTV@1:1,A,"3,2,1","587,369",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,14,16000224.66170575,0.0019518198382293865,13.86,52581,30785,1,SOV@1:1,Nov|SOV@1:1,A,"3,2,1","225,914",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,15,18588439.692678813,0.0013956418664879788,3.75,52423,30785,1,SOV@1:1,none,A,"3,2,1","188,400",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,16,13237610.600010471,0.0009784748074230629,2.2,52419,30785,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","67,247",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,17,18586141.22338175,0.0007880736622975734,7.65,52163,30785,1,SOV@1:1,"Oct|CTV@1:1, Nov|SOV@1:1",A,"3,2,1","439,667",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,18,17584962.962370086,0.001386652592690455,2.3,52326,30785,1,SOV@1:1,Jan|CTV@1:1,A,"3,2,1","412,986",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,19,14414681.689227596,0.0018465594566405565,2.1,52085,30785,1,SOV@1:1,none,A,"3,2,1","325,524",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,20,15353616.928071843,0.0016198116570575454,4.42,52721,30785,1,SOV@1:1,Nov|CTV@1:2,A,"3,2,1","796,314",12,30,True,1,4,2,8
