case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S3_T12,1W3B,A,3,1,20948829.730925087,0.0019720173414192435,3.49,78034,46111,1,SOV@1:1,none,A,"3,2,1","660,366,769",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,2,17297297.99564024,0.0015632331744712723,6.98,78686,46111,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","265,653,89",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,3,19417652.67688781,0.0019589562799200363,4.0,78118,46111,1,SOV@1:1,none,A,"3,2,1","986,147,329",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,4,17652682.164461773,0.0018932864303059936,6.7,78172,46111,1,SOV@1:1,Jan|CTV@1:1,A,"3,2,1","52,53,835",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,5,19663141.349486336,0.0019170226042138356,3.04,78132,46111,1,SOV@1:1,none,A,"3,2,1","607,518,165",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,6,20790978.469290227,0.0010674603503554416,3.04,78144,46111,1,SOV@1:1,Nov|CTV@1:1,A,"3,2,1","909,330,476",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,7,17748333.037259787,0.001985314075005474,17.02,78512,46111,1,SOV@1:1,none,A,"3,2,1","468,354,796",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,8,20754632.367808178,0.0003663700704053094,3.43,78471,46111,1,SOV@1:1,none,A,"3,2,1","103,369,587",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,9,18093870.444743883,0.0012318098423130858,16.37,78673,46111,1,SOV@1:1,Nov|SOV@1:1,A,"3,2,1","389,400,225",12,30,True,1,4,2,8
W1_B3_V3_S3_T12,1W3B,A,3,10,19786465.297100496,0.0011542390703055752,7.64,77922,46111,1,SOV@1:1,Feb|SOV@1:1,A,"3,2,1","67,512,246",12,30,True,1,4,2,8
