case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S2_T12,1W3B,A,2,1,19397611.2305379,0.001818647260935433,2.21,52266,30785,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","770,366",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,2,16603797.113704486,0.001996447832519097,1.81,52193,30785,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","944,199",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,3,16809691.261560496,0.0018067924890227264,8.23,52641,30785,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","653,265",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,4,21432492.8910932,0.0018841637647076862,3.11,52560,30785,1,SOV@1:1,Nov|SOV@1:1,A,"3,2,1","459,147",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,5,16811213.100726068,0.000529051187438103,5.95,52402,30785,1,SOV@1:1,none,A,"3,2,1","851,328",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,6,18690120.36203323,0.0018762419335751272,3.81,52455,30785,1,SOV@1:1,none,A,"3,2,1","53,836",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,7,19773602.389121298,0.001266015038765525,5.06,52440,30785,1,SOV@1:1,"Feb|CTV@1:1, Nov|CTV@1:1",A,"3,2,1","555,270",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,8,21945010.140242726,0.0017584600238170016,1.5,52086,30785,1,SOV@1:1,none,A,"3,2,1","518,607",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,9,18698149.855188265,0.0018821392058137253,2.45,52166,30785,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","344,477",12,30,True,1,4,2,8
W1_B3_V3_S2_T12,1W3B,A,2,10,16615777.639551155,0.0007732673829030956,2.39,52224,30785,1,SOV@1:1,none,A,"3,2,1","327,329",12,30,True,1,4,2,8
