case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S5_T12,1W3B,A,5,1,19535658.464611765,0.0019160329939323865,33.22,130328,76763,1,SOV@1:1,Feb|CTV@1:1;SOV@1:1,A,"3,2,1","658,944,199,365,768",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,2,17536784.280038234,0.001988215318904272,25.37,130712,76763,1,SOV@1:1,none,A,"3,2,1","851,985,458,328,147",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,3,18967381.810609724,0.0019527168509604568,6.11,130475,76763,1,SOV@1:1,none,A,"3,2,1","518,165,607,554,269",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,4,18737874.330857046,0.001998259186655563,9.76,130263,76763,1,SOV@1:1,none,A,"3,2,1","216,328,468,797,326",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,5,18029825.79868836,0.001998001633322058,8.15,130650,76763,1,SOV@1:1,none,A,"3,2,1","914,592,585,225,368",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,6,16851589.328060724,0.0019966784998676863,8.67,130318,76763,1,SOV@1:1,none,A,"3,2,1","67,439,511,246,667",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,7,15295621.947095955,0.001699909189785416,11.46,131127,76763,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:2",A,"3,2,1","324,314,523,796,673",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,8,19032509.245115686,0.001011282670474751,15.52,130599,76763,1,SOV@1:1,Jan|CTV@1:1,A,"3,2,1","704,110,624,252,411",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,9,21835192.32353919,0.001980349232163197,80.93,130128,76763,1,SOV@1:1,Nov|CTV@1:1,A,"3,2,1","87,287,418,118,812",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,10,16017640.883294506,0.000942558463737919,28.82,131661,76763,1,SOV@1:1,none,A,"3,2,1","420,676,656,942,27",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,11,18092783.06515433,0.0016854157055480482,18.65,130679,76763,1,SOV@1:1,none,A,"3,2,1","985,772,620,705,18",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,12,17001702.42630987,0.0018260490779038795,6.34,130228,76763,1,SOV@1:1,none,A,"3,2,1","698,682,952,432,876",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,13,15260577.176660962,0.001994406402776733,6.24,131705,76763,1,SOV@1:1,none,A,"3,2,1","879,957,850,158,143",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,14,17443338.46679669,0.0017853705818100041,26.34,130727,76763,1,SOV@1:1,none,A,"3,2,1","387,480,469,591,892",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,15,18322941.33499577,0.0019848028446112667,18.87,130494,76763,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1","40,308,852,237,591",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,16,17948425.77857767,0.0018385291852997547,7.75,130901,76763,1,SOV@1:1,Dec|CTV@1:1,A,"3,2,1","157,453,515,286,18",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,17,16325383.625811314,0.001769234593269531,6.99,130840,76763,1,SOV@1:1,none,A,"3,2,1","121,586,760,335,690",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,18,19139781.84436823,0.0013731850307054374,9.51,130599,76763,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1","78,830,416,944,321",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,19,18023717.008190952,0.0019544702250804467,21.29,130779,76763,1,SOV@1:1,Feb|CTV@1:2,A,"3,2,1","297,357,750,722,792",12,30,True,1,4,2,8
W1_B3_V3_S5_T12,1W3B,A,5,20,17223714.27166852,0.0014554945975419214,8.3,130769,76763,1,SOV@1:1,May|CTV@1:1,A,"3,2,1","123,965,628,772,47",12,30,True,1,4,2,8
