coalition,coalition_size,method,bases,objective,standalone_cost,synergy,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,Con_total_runtime,Con_eta_runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,runtime,MIPGap,has_solution,status,eta,gamma_LT,gamma_ST,alpha,scenarios,seed,node_id,num_nodes
B,1,con_mp,3;5;6;7,28990072.1233271,28990072.1233271,0.0,9022900.0,19967172.123328928,345000.0,8150625.0,527275.0,19849230.09092029,18293.775079236424,99648.2573276431,66.7773807104677,15.360488135367632,8.922373581677675,0.03748179227113724,29.38624405860901,29.38624405860901,0.017553651181341678,True,2,3:1,CTV|3:1;SOV|3:1,CTV|3|Dec:2;CTV|3|Feb:1;CTV|3|Jan:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
C,1,con_mp,3;5;6;7,25870022.46602603,25870022.46602603,0.0,9270725.0,16599297.466026084,517500.0,8150625.0,602600.0,16422313.675950559,27769.825401045928,149213.96467446108,63.63596856594086,17.456662617623806,5.850237663835287,0.04038633219897747,25.701653003692627,25.701653003692627,0.017040623340690283,True,2,3:1,CTV|3:1;SOV|3:1,CTV|3|Dec:3;CTV|3|Feb:1;CTV|3|Jan:2,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
D,1,con_mp,3;5;6;7,25397667.86990767,25397667.86990767,0.0,8257575.0,17140092.86990633,6900000.0,905625.0,451950.0,17033867.455825556,56310.51003379024,49914.90404850233,119.01387242972851,16.221715541556478,8.526369586586952,0.039011863991618156,79.50147795677185,79.50147795677185,0.016265292169429072,True,2,5:1,CTV|5:1,CTV|5|Apr:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BC,2,con_mp,3;5;6;7,51370990.97365168,54860094.58935313,0.06791972569676576,14606725.0,36764265.9736558,4571250.0,9056250.0,979225.0,36335790.85803391,190127.4213730899,238347.69424464702,398.8978189025074,21.867316231131554,19.516029480844736,0.04011133126914501,337.396418094635,337.396418094635,0.012702058946493627,True,2,3:1,CTV|3:2;SOV|3:1,CTV|3|Dec:3;CTV|3|Jan:2;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Apr:1;SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Jul:1;SOV1|3|Jun:1;SOV1|3|Mar:1;SOV1|3|May:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Dec:1;SOV2|3|Feb:1;SOV2|3|Jan:1;SOV2|3|Nov:1;SOV2|3|Oct:1;SOV2|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BD,2,con_mp,3;5;6;7,51942710.54455346,54387739.99323477,0.047071656889836444,14606725.0,37335985.54455165,4571250.0,9056250.0,979225.0,36856243.40651804,144879.73073402434,334862.40730100026,418.4180995337665,68.07108964212239,13.021810226142406,0.04107941873371601,317.18096804618835,317.18096804618835,0.010053058150971302,True,2,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:3;CTV|5|Jan:2;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
CD,2,con_mp,3;5;6;7,49525980.110465705,51267690.3359337,0.03516760741701992,16212700.0,33313280.110462748,5951250.0,9056250.0,1205200.0,32982692.19958905,117058.35352187403,213529.55735472648,386.2445625253022,26.415013004094362,27.172221751883626,0.03806157968938351,314.40934801101685,314.40934801101685,0.013988212676731523,True,2,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:2;SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BCD,3,con_mp,3;5;6;7,76080507.09959567,80257762.45926079,0.054905724461020655,20848350.0,55232157.09959514,8625000.0,10867500.0,1355850.0,54404032.26471509,378363.6389079328,449761.1959727926,1312.613719407469,361.19813585840166,52.62072714418173,0.039583392441272736,875.9142868518829,875.9142868518829,0.011160946149511115,True,2,5:1,CTV|5:4;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:2;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
