wave_ctv,oneway_hours,oneway_hours_realized,oneway_km_realized,iss_mean,iss_std,oos_mean,oos_std,oos_minus_iss_mean,ctv_lt_mean,ctv_st_mean,pct_runs_with_ctv,n_unique_solutions,n_instances
1.5,0.5,0.49943861910963483,17.48035166883722,19038781.580265105,1329308.9193020635,18779453.633171014,40220.00148447755,-259327.9470940909,0.0,1.0,0.6666666666666666,4,6
1.5,1.0,0.998875457538814,34.96064101385849,19078441.810696825,1333820.3488393323,18810756.640468635,55079.47025745326,-267685.1702281963,0.0,0.8333333333333334,0.6666666666666666,4,6
1.5,1.5,1.4983087345866284,52.44080571053199,19101865.7600318,1333846.6041968467,18836496.16914635,60675.00909244701,-265369.59088544984,0.0,0.8333333333333334,0.6666666666666666,4,6
1.5,2.0,1.997736669511238,69.92078343289333,19121941.52079082,1336505.9931335624,18813947.99730128,3197.2357152215536,-307993.5234895367,0.0,0.3333333333333333,0.3333333333333333,2,6
1.6,0.5,0.49943861910963483,17.48035166883722,18989653.2031981,1342954.558746073,18809043.004762847,168310.22384809863,-180610.19843525565,0.0,1.5,0.8333333333333334,5,6
1.6,1.0,0.998875457538814,34.96064101385849,19044466.287707347,1334215.029750547,18846041.307152867,171041.6235322973,-198424.98055447824,0.0,1.3333333333333333,0.8333333333333334,5,6
1.6,1.5,1.4983087345866284,52.44080571053199,19071470.513424862,1331871.185225804,18882361.98047739,172700.27683726817,-189108.5329474751,0.0,1.1666666666666667,0.6666666666666666,4,6
1.6,2.0,1.997736669511238,69.92078343289333,19100017.645068508,1333733.2082694403,18845351.17400175,49777.55985214412,-254666.47106675679,0.0,0.6666666666666666,0.5,4,6
1.8,0.5,0.49943861910963483,17.48035166883722,18545802.035894286,1325481.7854840471,18883413.379497707,629871.6311190989,337611.3436034213,0.3333333333333333,3.1666666666666665,1.0,6,6
1.8,1.0,0.998875457538814,34.96064101385849,18716755.945451964,1254772.1202529373,18746717.314966235,157800.64714683866,29961.36951426727,0.0,3.0,1.0,6,6
1.8,1.5,1.4983087345866284,52.44080571053199,18827904.856152635,1305158.8594132373,18778838.76248121,176175.62043325815,-49066.09367142556,0.0,2.6666666666666665,1.0,6,6
1.8,2.0,1.997736669511238,69.92078343289333,18910427.221876223,1316238.5402108692,18739241.300520066,81155.40718141937,-171185.92135615274,0.0,1.8333333333333333,1.0,6,6
2.0,0.5,0.49943861910963483,17.48035166883722,15677284.58109053,1268525.35049946,15972575.41140615,148320.6627106136,295290.8303156197,2.0,3.1666666666666665,1.0,6,6
2.0,1.0,0.998875457538814,34.96064101385849,16964077.54901895,1314440.7339319035,17490919.651109707,190475.9225982059,526842.1020907561,2.0,3.6666666666666665,1.0,6,6
2.0,1.5,1.4983087345866284,52.44080571053199,18134283.570417147,1428126.3965831252,18773178.550887,175168.35762082186,638894.9804698474,1.8333333333333333,2.5,1.0,6,6
2.0,2.0,1.997736669511238,69.92078343289333,18708998.075915847,1278411.7641714478,18720332.366935775,95134.1856273348,11334.29101992833,0.0,3.0,1.0,6,6
