wave_ctv,oneway_hours,oneway_hours_realized,oneway_km_realized,instance_id,iss_objective,iss_first_stage_cost,iss_second_stage_cost,iss_downtime_cost,iss_travel_cost_S,iss_travel_cost_M,oos_objective,ctv_lt_count,ctv_st_count,uses_ctv,gamma_LT,gamma_ST,solution_signature
1.5,1.0,0.998875457538814,34.96064101385849,5,19231120.964653768,5811903.5,13419217.46465358,13401037.931326581,0.0,18179.53332720644,18793711.476464715,0,0,0,SOV|3:1,,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1
1.5,1.0,0.998875457538814,34.96064101385849,6,18019034.162815932,6003036.0,12015998.162815746,11996588.014925053,1230.6145636878186,18179.53332720644,18759944.95633857,0,1,1,SOV|3:1,CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Jan=1
1.5,1.5,1.4983087345866284,52.44080571053199,1,19105889.83857008,6194168.5,12911721.338570267,12881095.908035152,3356.211565474049,27269.21896947664,18915852.88933097,0,2,1,SOV|3:1,CTV|3|Feb:1;CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Feb=1;gamma_ST:CTV|3|Jan=1
1.5,1.5,1.4983087345866284,52.44080571053199,2,19563340.511020117,6003036.0,13560304.511020284,13530853.754533084,2181.5375175581316,27269.21896947664,18792092.972542513,0,1,1,SOV|3:1,CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Jan=1
1.5,1.5,1.4983087345866284,52.44080571053199,3,17395827.239186406,5811903.5,11583923.739186602,11556654.520216959,0.0,27269.21896947664,18802820.4770493,0,0,0,SOV|3:1,,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1
1.5,1.5,1.4983087345866284,52.44080571053199,4,21256963.66642295,6003036.0,15253927.666423108,15225483.77340555,1174.6740479159166,27269.21896947664,18913297.226363514,0,1,1,SOV|3:1,CTV|3|Nov:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Nov=1
1.5,1.5,1.4983087345866284,52.44080571053199,5,19240210.650296032,5811903.5,13428307.150296226,13401037.931326583,0.0,27269.21896947664,18802820.4770493,0,0,0,SOV|3:1,,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1
1.5,1.5,1.4983087345866284,52.44080571053199,6,18048962.65469522,6003036.0,12045926.6546954,12016979.32994302,1678.1057827370241,27269.21896947664,18792092.972542513,0,1,1,SOV|3:1,CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Jan=1
1.5,2.0,1.997736669511238,69.92078343289333,1,19160530.585189257,6003036.0,13157494.585189393,13118898.312734311,2237.465069852587,36358.807385104534,18818075.610860933,0,1,1,SOV|3:1,CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Jan=1
1.5,2.0,1.997736669511238,69.92078343289333,2,19581523.56972574,6003036.0,13578487.569725871,13539220.057749834,2908.7045908083633,36358.807385104534,18818075.610860933,0,1,1,SOV|3:1,CTV|3|Jan:1,alpha:SOV1|3|Apr=1;alpha:SOV1|3|Aug=1;alpha:SOV1|3|Dec=1;alpha:SOV1|3|Feb=1;alpha:SOV1|3|Jan=1;alpha:SOV1|3|Jul=1;alpha:SOV1|3|Jun=1;alpha:SOV1|3|Mar=1;alpha:SOV1|3|May=1;alpha:SOV1|3|Nov=1;alpha:SOV1|3|Oct=1;alpha:SOV1|3|Sep=1;eta:3=1;gamma_LT:SOV|3=1;gamma_ST:CTV|3|Jan=1
