instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
8,3,18297795.729324717,6117696.0,12180099.72932463,229320.0,5506020.0,382356.0,12148345.30264492,3735.8149035066945,28018.611776300164,8.116999864578247,0.0,SOV|3:1,CTV|3|Dec:1;CTV|3|Nov:1,42;55;161,2ced5ae0f02a4ee8,1881,1-200,201-300,1
8,5,19180923.893863607,5811903.5,13369020.393863635,5506020.0,0.0,305883.5,13341001.782087328,0.0,28018.611776300342,27.950999975204468,9.450372793220942e-05,,SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,42;55;103;110;161,2ced5ae0f02a4ee8,1881,1-200,201-300,1
8,10,21415673.89795449,6117696.0,15297977.897954501,229320.0,5506020.0,382356.0,15267114.31944396,2844.9667342089438,28018.61177630008,94.79499983787537,5.027199602442966e-05,SOV|3:1,CTV|3|Feb:1;CTV|3|Jan:1,3;23;42;55;93;97;103;110;161;178,2ced5ae0f02a4ee8,1881,1-200,201-300,1
9,1,20654437.104442496,6003036.0,14651401.104442498,5620680.0,0.0,382356.0,14622520.381534612,862.1111315784681,28018.611776300222,2.6440000534057617,0.0,,CTV|3|Nov:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,154,2ced5ae0f02a4ee8,1881,1-200,201-300,1
9,3,19617991.287416518,5811903.5,13806087.78741642,0.0,5506020.0,305883.5,13778069.17564021,0.0,28018.611776300164,4.499000072479248,4.235917638707689e-05,SOV|3:1,,139;154;175,2ced5ae0f02a4ee8,1881,1-200,201-300,1
9,5,19867574.070354022,5811903.5,14055670.570354013,5506020.0,0.0,305883.5,14027651.958577706,0.0,28018.611776300342,4.9670000076293945,6.084465454668723e-05,,SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,19;139;140;154;175,2ced5ae0f02a4ee8,1881,1-200,201-300,1
9,10,22855226.965196006,6232356.0,16622870.965196025,5850000.0,0.0,382356.0,16591145.275553897,3707.077865787411,28018.61177630008,73.00399994850159,8.480124790357094e-05,,CTV|3|Nov:1;CTV|3|Oct:1;CTV|3|Sep:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,19;43;45;53;103;110;139;140;154;175,2ced5ae0f02a4ee8,1881,1-200,201-300,1
10,1,21748519.178901143,7723605.5,14024913.678901138,6653010.0,0.0,1070595.5,13989136.066940622,3448.4445263138723,32329.167434192565,0.623999834060669,4.2471420263098106e-05,,CTV|3|Jan:1;CTV|3|Sep:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:2;SOV|3|Feb:1;SOV|3|Jan:2;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,17,2ced5ae0f02a4ee8,1881,1-200,201-300,1
10,3,21835987.932638764,6767754.5,15068233.4326387,6079515.0,0.0,688239.5,15036407.163364694,2011.5926403497585,29814.676633755294,10.5239999294281,7.013181211457104e-05,,CTV|3|Jan:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:2;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,17;64;110,2ced5ae0f02a4ee8,1881,1-200,201-300,1
10,5,21640940.68817491,6003036.0,15637904.68817492,5620680.0,0.0,382356.0,15607989.431909144,1896.6444894726303,28018.611776300342,26.71400022506714,7.365744891405791e-05,,CTV|3|Jan:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,17;64;76;78;110,2ced5ae0f02a4ee8,1881,1-200,201-300,1
10,10,22716842.16509056,6003036.0,16713806.165090576,5620680.0,0.0,382356.0,16684321.964390572,1465.5889236833957,28018.61177630008,62.64999985694885,8.450057035089484e-05,,CTV|3|Jan:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,7;17;64;74;76;78;99;110;136;161,2ced5ae0f02a4ee8,1881,1-200,201-300,1
