case_id,coalition,coalition_size,bases,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,iss_scenarios,oos_scenarios,seed,standalone_cost,synergy,savings,CTV_ST_vessel_months,SOV_ST_vessel_months,CTV_LT_vessels,SOV_LT_vessels,CTV_LT_vessel_months,SOV_LT_vessel_months,CTV_total_vessel_months,SOV_total_vessel_months,SOV_share,avg_pairwise_distance,max_pairwise_distance,avg_distance_to_selected_base,max_distance_to_selected_base,range_distance_to_selected_base,total_turbines,turbine_range,has_stable_core
base_oos_501_1500,B,1,3;5;6;7,1000,15626773.849463245,5842575.0,9784198.849463295,4485000.0,905625.0,451950.0,9610102.170674743,117215.96248646225,56880.71630206802,0.539924731016159,0.0077826914053415,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Jun:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,15626773.849463245,0.0,0.0,4.0,6.0,1.0,0.0,12.0,0.0,16.0,6.0,0.2727272727272727,0.0,0.0,51.64620684117802,51.64620684117802,0.0,70.0,0.0,
base_oos_501_1500,BC,2,3;5;6;7,1000,29693155.38038813,9281075.0,20412080.38038788,6641250.0,1811250.0,828575.0,19930439.920832563,335006.977588935,146633.4819666289,2.458553220748901,0.0073297640203916,3:1,CTV|3:2,CTV|3|Apr:1;CTV|3|Aug:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|May:1;SOV|3|Apr:1;SOV|3|Dec:1;SOV|3|Feb:2;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Apr:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Mar:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,31539834.73455836,0.06219208873267583,1846679.3541702293,5.0,9.0,2.0,0.0,24.0,0.0,29.0,9.0,0.23684210526315788,63.47440362256911,63.47440362256911,64.59044958019093,77.53469231920386,25.888485478025835,150.0,10.0,True
base_oos_501_1500,BCD,3,3;5;6;7,1000,44562705.20285697,14240450.0,30322255.20285707,3450000.0,9961875.0,828575.0,29518830.06557267,430685.3418565496,372739.7954277591,6.2883240284919735,0.0108550724081835,5:1,CTV|5:3;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,48795314.072349265,0.09498096783453205,4232608.869492292,0.0,5.0,3.0,1.0,36.0,12.0,36.0,17.0,0.32075471698113206,72.32717915669393,91.74352060235238,79.85049276769844,123.80865997235452,90.03856359834091,250.0,30.0,True
base_oos_501_1500,BCDE,4,3;5;6;7,1000,55454018.22374777,15911400.0,39542618.22374777,4140000.0,10867500.0,903900.0,37985302.92612574,889829.5344005157,667485.7632215476,13.307247894287109,0.0118128660921775,5:1,CTV|5:4;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,62964919.930192366,0.13544377751201644,7510901.706444599,0.0,6.0,4.0,1.0,48.0,12.0,48.0,18.0,0.2727272727272727,132.20551934670658,219.73582480441166,94.66608466167209,139.11286034359304,105.34276396957944,320.0,30.0,True
base_oos_501_1500,BCDEF,5,3;5;6;7,1000,65359837.92945929,20352700.0,45007137.92945945,8280000.0,10867500.0,1205200.0,42541818.31597174,1059948.072831567,1405371.540655961,24.557701331615448,0.0122535536531401,5:1,CTV|5:4;SOV|5:1,SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:2;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1;SOV3|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,73724675.78633974,0.12798131271237773,8364837.856880456,0.0,12.0,4.0,1.0,48.0,12.0,48.0,24.0,0.3333333333333333,182.61071183968212,337.9627895608864,121.5292250583851,228.98178664523718,195.21169027122357,370.0,50.0,True
base_oos_501_1500,BCDEFG,6,3;5;6;7,1000,74505536.98022266,24147700.0,50357836.98022278,4830000.0,18112500.0,1205200.0,46562866.17479946,1140350.826209264,2654619.979213933,53.240869760513306,0.0141867342138841,5:1,CTV|5:4;SOV|5:2,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Apr:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Jul:1;SOV2|5|Jun:1;SOV2|5|Mar:1;SOV2|5|May:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Mar:1;SOV3|5|Nov:1;SOV3|5|Oct:1;SOV3|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,83021725.16764043,0.11430275564188444,8516188.187417775,0.0,7.0,4.0,2.0,48.0,24.0,48.0,31.0,0.3924050632911392,238.64445620973663,454.6092381889175,165.2080390811508,383.6021091949793,349.83201282096564,430.0,50.0,False
base_oos_501_1500,BCDEG,5,3;5;6;7,1000,64325812.764414094,22886150.0,41439662.76441394,4398750.0,17206875.0,1280525.0,38724005.85931966,891928.0609950365,1823728.8440992644,25.022880903720857,0.0102919333887369,5:1,CTV|5:3;SOV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Apr:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Jul:1;SOV2|5|Jun:1;SOV2|5|Mar:1;SOV2|5|May:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1;SOV3|5|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,72261969.31149305,0.12337436879568428,7936156.54707896,11.0,5.0,3.0,2.0,36.0,24.0,47.0,29.0,0.3815789473684211,233.8353489354412,454.6092381889175,152.45328956833353,383.6021091949793,349.83201282096564,380.0,40.0,True
base_oos_501_1500,BCDF,4,3;5;6;7,1000,54951778.95267663,16169575.0,38782203.95267689,5002500.0,9961875.0,1205200.0,36824397.35487241,682183.9855606692,1275622.6122436095,18.953594809770586,0.0139932371402225,5:1,CTV|5:3;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,59555069.928496644,0.08376964428729913,4603290.975820012,2.0,7.0,3.0,1.0,36.0,12.0,38.0,19.0,0.3333333333333333,186.18921061300173,337.9627895608864,117.13331623708312,228.98178664523718,195.21169027122357,300.0,50.0,False
base_oos_501_1500,BCDFG,5,3;5;6;7,1000,64131558.01500195,22422125.0,41709433.015002295,3708750.0,17206875.0,1506500.0,38432313.21025454,692287.8958062461,2584831.908941136,40.92635113692284,0.013932397133686,5:1,CTV|5:3;SOV|5:2,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Apr:1;SOV2|5|Aug:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Jul:1;SOV2|5|Jun:1;SOV2|5|Mar:1;SOV2|5|May:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Dec:1;SOV3|5|Feb:1;SOV3|5|Jan:1;SOV3|5|Nov:1;SOV4|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,68852119.30979733,0.07360746317267271,4720561.294795379,3.0,5.0,3.0,2.0,36.0,24.0,39.0,29.0,0.4264705882352941,262.55425140115506,454.6092381889175,170.42707482866234,383.6021091949793,349.83201282096564,360.0,50.0,False
base_oos_501_1500,BCDG,4,3;5;6;7,1000,54027956.93426076,16988950.0,37039006.93426108,6727500.0,9056250.0,1205200.0,34532891.5992598,667173.4023421943,1838941.932658856,21.23492039704323,0.0129875324930506,5:1,CTV|5:2;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:2;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:2;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Mar:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV2|5|Sep:1;SOV3|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,58092363.45364995,0.07522784036299227,4064406.51938919,14.0,8.0,2.0,1.0,24.0,12.0,38.0,20.0,0.3448275862068966,252.82490605476116,454.6092381889175,155.78839687451864,383.6021091949793,349.83201282096564,310.0,40.0,False
