tree_size,mean,sd,cv,lo,hi,n,is_pruned
1,20511492.74879398,3896076.1987612685,0.1899460096091908,17724407.733753305,23298577.76383465,10,False
3,21650463.000117727,2236012.095724189,0.10327779575485432,20050916.305567965,23250009.69466749,10,False
5,22321291.46445743,1802730.5810428006,0.08076282610767925,21031695.69367209,23610887.23524277,10,False
10,23135522.101321876,1505035.3281404076,0.06505300902867524,22058884.68558021,24212159.517063543,10,False
