case_id,coalition,coalition_size,bases,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,iss_scenarios,oos_scenarios,seed,standalone_cost,synergy
base_oos_501_1500,BG,2,3;5;6;7,1000,23466445.007787645,8527250.0,14939195.007787596,0.0,8150625.0,376625.0,13271451.0546895,235164.2733509632,1432579.6797471724,2.0891100816726684,0.0084836019812418,7:1,CTV|7:1;SOV|7:1,,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,24923823.23076393,0.06210477226067417
base_oos_501_1500,CD,2,3;5;6;7,1000,32086233.883140024,11512650.0,20573583.883140106,8797500.0,1811250.0,903900.0,20171094.17672168,262894.3540992473,139595.35231910413,2.3969559750556946,0.0076368199627956,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Jun:2;CTV|5|May:2;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,33168540.222886022,0.03373117405077276
base_oos_501_1500,CE,2,3;5;6;7,1000,27079392.98569283,9508200.0,17571192.98569288,0.0,9056250.0,451950.0,16615769.051788451,447413.46487646713,508010.4690278739,2.5612221224308014,0.009365795452195,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,30082666.742938217,0.11090624368249843
base_oos_501_1500,CF,2,3;5;6;7,1000,25003666.02621535,8947575.0,16056091.026215311,345000.0,8150625.0,451950.0,15089747.806352822,163423.11622151444,802920.1036410397,1.89278482747078,0.0097463662352605,6:1,CTV|6:1;SOV|6:1,CTV|6|Dec:1;CTV|6|Jan:1;CTV|6|Nov:1;CTV|6|Oct:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,26672816.74124249,0.06675623939613912
base_oos_501_1500,CG,2,3;5;6;7,1000,23254289.9198256,8527250.0,14727039.91982552,0.0,8150625.0,376625.0,13126567.604805823,237065.56777107145,1363406.7472487064,2.170158138036728,0.0090252846442758,7:1,CTV|7:1;SOV|7:1,,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,25210110.2663958,0.08410578664467211
base_oos_501_1500,DE,2,3;5;6;7,1000,28547886.5155274,9508200.0,19039686.51552752,0.0,9056250.0,451950.0,18385091.13018428,257760.37404602583,396835.0112971021,2.3277105734348296,0.008760261950276,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,31425085.195634015,0.10078499781557156
base_oos_501_1500,DF,2,3;5;6;7,1000,26963128.001343675,8947575.0,18015553.001343705,345000.0,8150625.0,451950.0,17170627.402330164,205841.8974165217,639083.7015970083,2.0328332245349885,0.0095929413893318,6:1,CTV|6:1;SOV|6:1,CTV|6|Dec:1;CTV|6|Jan:1;CTV|6|Nov:1;CTV|6|Oct:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,28015235.193938293,0.039020220226013355
base_oos_501_1500,DG,2,3;5;6;7,1000,26152075.109059576,9195400.0,16956675.109059654,517500.0,8150625.0,527275.0,15392462.741267988,131810.07585514776,1432402.2919364478,2.3552342360019685,0.008342130488806,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,26552528.719091594,0.015312498467599366
base_oos_501_1500,EF,2,3;5;6;7,1000,23801332.9876546,8936075.0,14865257.98765449,6296250.0,1811250.0,828575.0,14379437.526778584,330211.48349957285,155608.97737645026,2.125405080795288,0.0092631095252634,6:1,CTV|6:2,CTV|6|Aug:1;SOV|6|Dec:1;SOV|6|Feb:2;SOV|6|Jan:2;SOV|6|Mar:1;SOV|6|Nov:1;SOV|6|Oct:1;SOV|6|Sep:1,SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Mar:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1;SOV2|6|Feb:1;SOV2|6|Jan:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,24929361.713990487,0.04739351056182352
base_oos_501_1500,EG,2,3;5;6;7,1000,21476096.08312155,8688825.0,12787271.08312147,86250.0,8150625.0,451950.0,11778654.966781538,236009.18431009213,772606.9320299367,2.02366045165062,0.0095043517998767,7:1,CTV|7:1;SOV|7:1,CTV|7|Feb:1,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,23466655.23914379,0.09268719735271885
