coalition,coalition_size,method,bases,objective,standalone_cost,synergy,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,Con_total_runtime,Con_eta_runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,runtime,MIPGap,has_solution,status,eta,gamma_LT,gamma_ST,alpha,scenarios,seed,node_id,num_nodes
B,1,con_mp,3;5;6;7,12462753.344200905,12462753.344200905,0.0,5422250.0,7040503.344201775,4140000.0,905625.0,376625.0,6889641.330937393,98348.15014742968,52513.86311611009,118.001558592543,15.255219647660851,4.41794285364449,0.041049256920814514,84.21815204620361,84.21815204620361,0.006979083656994037,True,2,3:1,CTV|3:1,SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
C,1,con_mp,3;5;6;7,11882191.177992847,11882191.177992847,0.0,5422250.0,6459941.177992042,4140000.0,905625.0,376625.0,6233692.87821356,148564.74085077207,77683.55892845703,154.0114865079522,32.506110813468695,3.477158758789301,0.03387898951768875,103.707346200943,103.707346200943,0.00010330829389731829,True,2,3:1,CTV|3:1,SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
D,1,con_mp,3;5;6;7,10568464.028144944,10568464.028144944,0.0,4290075.0,6278389.0281459475,2932500.0,905625.0,451950.0,6168484.024361692,88297.54531925776,21607.458463948835,119.43396725319326,20.199270786717534,3.063873391598463,0.041260017082095146,81.49620699882507,81.49620699882507,0.010754988522994008,True,2,5:1,CTV|5:1,CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BC,2,con_mp,3;5;6;7,21489081.509168193,24344944.522193752,0.13289832847472433,6877575.0,14611506.509168385,5520000.0,905625.0,451950.0,14188186.000331767,299518.6714528545,123801.83738353159,432.3624419476837,37.99615612067282,16.726945182308555,0.03912438079714775,358.0853729248047,358.0853729248047,0.013584986127322167,True,2,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Dec:1;CTV|3|Feb:1;CTV|3|Jan:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BD,2,con_mp,3;5;6;7,22130677.631855555,23031217.37234585,0.04069191894937873,7653825.0,14476852.631857553,6296250.0,905625.0,451950.0,13957124.205577947,344042.5358963823,175685.89038125722,492.42352104745805,170.8977164067328,22.065456308424473,0.039528992027044296,281.051353931427,281.051353931427,0.01906355511630339,True,2,5:1,CTV|5:1,CTV|5|Apr:2;CTV|5|Aug:2;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|Mar:1;CTV|5|May:2;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
CD,2,con_mp,3;5;6;7,20387596.219392546,22450655.20613779,0.10119187002452393,6403200.0,13984396.219393319,4140000.0,1811250.0,451950.0,13609456.218708534,282477.7213538062,92462.27933016152,251.40699816308916,28.767120545729995,13.283364530652761,0.036388691514730453,190.76384496688843,190.76384496688843,0.007941033709215927,True,2,5:1,CTV|5:2,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
BCD,3,con_mp,3;5;6;7,32149318.58718308,34913408.5503387,0.08597662671014045,11512650.0,20636668.58717932,8797500.0,1811250.0,903900.0,19885158.546855904,491586.35952199803,259923.6808053404,1758.1197250112891,301.3906898163259,37.769678147509694,0.03959733434021473,1394.1132061481476,1394.1132061481476,0.019986304802087268,True,2,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,1
